barcode,style_code,item_description,brand,category,color,size,planned_mrp,selling_price,cost_price,hsn_code,gst_percentage,stock_quantity
7007007007030,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BRONZE,40,2599.0,2599.0,540.0,,5.0,100
7007007007031,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BRONZE,41,2599.0,2599.0,540.0,,5.0,100
7007007007032,CH-02-A,COMFORT,TATTLY THREADS,Apparel,BRONZE,42,2599.0,2599.0,540.0,,5.0,100
7007007007033,CH-03-A,COMFORT,TATTLY THREADS,Apparel,GOLD,35,2599.0,2599.0,540.0,,5.0,100
7007007007034,CH-03-A,COMFORT,TATTLY THREADS,Apparel,GOLD,36,2599.0,2599.0,540.0,,5.0,100
7007007007035,CH-03-A,COMFORT,TATTLY THREADS,Apparel,GOLD,37,2599.0,2599.0,540.0,,5.0,100
7007007007036,CH-03-A,COMFORT,TATTLY THREADS,Apparel,GOLD,38,2599.0,2599.0,540.0,,5.0,100
7007007007037,CH-03-A,COMFORT,TATTLY THREADS,Apparel,GOLD,39,2599.0,2599.0,540.0,,5.0,100
7007007007038,CH-03-A,COMFORT,TATTLY THREADS,Apparel,GOLD,40,2599.0,2599.0,540.0,,5.0,100
7007007007039,CH-03-A,COMFORT,TATTLY THREADS,Apparel,GOLD,41,2599.0,2599.0,540.0,,5.0,100
7007007007040,CH-03-A,COMFORT,TATTLY THREADS,Apparel,GOLD,42,2599.0,2599.0,540.0,,5.0,100
7007007007041,CH-03-A,COMFORT,TATTLY THREADS,Apparel,R-GOLD,35,2599.0,2599.0,540.0,,5.0,100
7007007007042,CH-03-A,COMFORT,TATTLY THREADS,Apparel,R-GOLD,36,2599.0,2599.0,540.0,,5.0,100
7007007007043,CH-03-A,COMFORT,TATTLY THREADS,Apparel,R-GOLD,37,2599.0,2599.0,540.0,,5.0,100
7007007007044,CH-03-A,COMFORT,TATTLY THREADS,Apparel,R-GOLD,38,2599.0,2599.0,540.0,,5.0,100
7007007007045,CH-03-A,COMFORT,TATTLY THREADS,Apparel,R-GOLD,39,2599.0,2599.0,540.0,,5.0,100
7007007007046,CH-03-A,COMFORT,TATTLY THREADS,Apparel,R-GOLD,40,2599.0,2599.0,540.0,,5.0,100
7007007007047,CH-03-A,COMFORT,TATTLY THREADS,Apparel,R-GOLD,41,2599.0,2599.0,540.0,,5.0,100
7007007007048,CH-03-A,COMFORT,TATTLY THREADS,Apparel,R-GOLD,42,2599.0,2599.0,540.0,,5.0,100
7007007007049,CH-04-A,BASIC,TATTLY THREADS,Apparel,BLACK,35,1899.0,1899.0,375.0,,5.0,100
7007007007050,CH-04-A,BASIC,TATTLY THREADS,Apparel,BLACK,36,1899.0,1899.0,375.0,,5.0,100
7007007007051,CH-04-A,BASIC,TATTLY THREADS,Apparel,BLACK,37,1899.0,1899.0,375.0,,5.0,100
7007007007052,CH-04-A,BASIC,TATTLY THREADS,Apparel,BLACK,38,1899.0,1899.0,375.0,,5.0,100
7007007007053,CH-04-A,BASIC,TATTLY THREADS,Apparel,BLACK,39,1899.0,1899.0,375.0,,5.0,100
7007007007054,CH-04-A,BASIC,TATTLY THREADS,Apparel,BLACK,40,1899.0,1899.0,375.0,,5.0,100
7007007007055,CH-04-A,BASIC,TATTLY THREADS,Apparel,BLACK,41,1899.0,1899.0,375.0,,5.0,100
7007007007056,CH-04-A,BASIC,TATTLY THREADS,Apparel,BLACK,42,1899.0,1899.0,375.0,,5.0,100
7007007007057,CH-04-A,BASIC,TATTLY THREADS,Apparel,CREAM,35,1899.0,1899.0,375.0,,5.0,100
7007007007058,CH-04-A,BASIC,TATTLY THREADS,Apparel,CREAM,36,1899.0,1899.0,375.0,,5.0,100
7007007007059,CH-04-A,BASIC,TATTLY THREADS,Apparel,CREAM,37,1899.0,1899.0,375.0,,5.0,100
7007007007060,CH-04-A,BASIC,TATTLY THREADS,Apparel,CREAM,38,1899.0,1899.0,375.0,,5.0,100
7007007007061,CH-04-A,BASIC,TATTLY THREADS,Apparel,CREAM,39,1899.0,1899.0,375.0,,5.0,100
7007007007062,CH-04-A,BASIC,TATTLY THREADS,Apparel,CREAM,40,1899.0,1899.0,375.0,,5.0,100
7007007007063,CH-04-A,BASIC,TATTLY THREADS,Apparel,CREAM,41,1899.0,1899.0,375.0,,5.0,100
7007007007064,CH-04-A,BASIC,TATTLY THREADS,Apparel,CREAM,42,1899.0,1899.0,375.0,,5.0,100
7007007007065,CH-05-B,BASIC,TATTLY THREADS,Apparel,BLACK,35,2199.0,2199.0,450.0,,5.0,100
7007007007066,CH-05-B,BASIC,TATTLY THREADS,Apparel,BLACK,36,2199.0,2199.0,450.0,,5.0,100
7007007007067,CH-05-B,BASIC,TATTLY THREADS,Apparel,BLACK,37,2199.0,2199.0,450.0,,5.0,100
7007007007068,CH-05-B,BASIC,TATTLY THREADS,Apparel,BLACK,38,2199.0,2199.0,450.0,,5.0,100
7007007007069,CH-05-B,BASIC,TATTLY THREADS,Apparel,BLACK,39,2199.0,2199.0,450.0,,5.0,100
7007007007070,CH-05-B,BASIC,TATTLY THREADS,Apparel,BLACK,40,2199.0,2199.0,450.0,,5.0,100
7007007007071,CH-05-B,BASIC,TATTLY THREADS,Apparel,BLACK,41,2199.0,2199.0,450.0,,5.0,100
7007007007072,CH-05-B,BASIC,TATTLY THREADS,Apparel,BLACK,42,2199.0,2199.0,450.0,,5.0,100
7007007007073,CH-05-B,BASIC,TATTLY THREADS,Apparel,WHITE,35,2199.0,2199.0,450.0,,5.0,100
7007007007074,CH-05-B,BASIC,TATTLY THREADS,Apparel,WHITE,36,2199.0,2199.0,450.0,,5.0,100
7007007007075,CH-05-B,BASIC,TATTLY THREADS,Apparel,WHITE,37,2199.0,2199.0,450.0,,5.0,100
7007007007076,CH-05-B,BASIC,TATTLY THREADS,Apparel,WHITE,38,2199.0,2199.0,450.0,,5.0,100
7007007007077,CH-05-B,BASIC,TATTLY THREADS,Apparel,WHITE,39,2199.0,2199.0,450.0,,5.0,100
7007007007078,CH-05-B,BASIC,TATTLY THREADS,Apparel,WHITE,40,2199.0,2199.0,450.0,,5.0,100
7007007007079,CH-05-B,BASIC,TATTLY THREADS,Apparel,WHITE,41,2199.0,2199.0,450.0,,5.0,100
7007007007080,CH-05-B,BASIC,TATTLY THREADS,Apparel,WHITE,42,2199.0,2199.0,450.0,,5.0,100
7007007007081,CH-06-B,BASIC,TATTLY THREADS,Apparel,BLACK,35,2199.0,2199.0,450.0,,5.0,100
7007007007082,CH-06-B,BASIC,TATTLY THREADS,Apparel,BLACK,36,2199.0,2199.0,450.0,,5.0,100
7007007007083,CH-06-B,BASIC,TATTLY THREADS,Apparel,BLACK,37,2199.0,2199.0,450.0,,5.0,100
7007007007084,CH-06-B,BASIC,TATTLY THREADS,Apparel,BLACK,38,2199.0,2199.0,450.0,,5.0,100
7007007007085,CH-06-B,BASIC,TATTLY THREADS,Apparel,BLACK,39,2199.0,2199.0,450.0,,5.0,100
7007007007086,CH-06-B,BASIC,TATTLY THREADS,Apparel,BLACK,40,2199.0,2199.0,450.0,,5.0,100
7007007007087,CH-06-B,BASIC,TATTLY THREADS,Apparel,BLACK,41,2199.0,2199.0,450.0,,5.0,100
7007007007088,CH-06-B,BASIC,TATTLY THREADS,Apparel,BLACK,42,2199.0,2199.0,450.0,,5.0,100
7007007007089,CH-06-B,BASIC,TATTLY THREADS,Apparel,CREAM,35,2199.0,2199.0,450.0,,5.0,100
7007007007090,CH-06-B,BASIC,TATTLY THREADS,Apparel,CREAM,36,2199.0,2199.0,450.0,,5.0,100
7007007007091,CH-06-B,BASIC,TATTLY THREADS,Apparel,CREAM,37,2199.0,2199.0,450.0,,5.0,100
7007007007092,CH-06-B,BASIC,TATTLY THREADS,Apparel,CREAM,38,2199.0,2199.0,450.0,,5.0,100
7007007007093,CH-06-B,BASIC,TATTLY THREADS,Apparel,CREAM,39,2199.0,2199.0,450.0,,5.0,100
7007007007094,CH-06-B,BASIC,TATTLY THREADS,Apparel,CREAM,40,2199.0,2199.0,450.0,,5.0,100
7007007007095,CH-06-B,BASIC,TATTLY THREADS,Apparel,CREAM,41,2199.0,2199.0,450.0,,5.0,100
7007007007096,CH-06-B,BASIC,TATTLY THREADS,Apparel,CREAM,42,2199.0,2199.0,450.0,,5.0,100
7007007007097,CH-07-B,BASIC,TATTLY THREADS,Apparel,BLACK,35,2199.0,2199.0,450.0,,5.0,100
7007007007098,CH-07-B,BASIC,TATTLY THREADS,Apparel,BLACK,36,2199.0,2199.0,450.0,,5.0,100
7007007007099,CH-07-B,BASIC,TATTLY THREADS,Apparel,BLACK,37,2199.0,2199.0,450.0,,5.0,100
7007007007100,CH-07-B,BASIC,TATTLY THREADS,Apparel,BLACK,38,2199.0,2199.0,450.0,,5.0,100
7007007007101,CH-07-B,BASIC,TATTLY THREADS,Apparel,BLACK,39,2199.0,2199.0,450.0,,5.0,100
7007007007102,CH-07-B,BASIC,TATTLY THREADS,Apparel,BLACK,40,2199.0,2199.0,450.0,,5.0,100
7007007007103,CH-07-B,BASIC,TATTLY THREADS,Apparel,BLACK,41,2199.0,2199.0,450.0,,5.0,100
7007007007104,CH-07-B,BASIC,TATTLY THREADS,Apparel,BLACK,42,2199.0,2199.0,450.0,,5.0,100
7007007007105,CH-07-B,BASIC,TATTLY THREADS,Apparel,CHIKKU,35,2199.0,2199.0,450.0,,5.0,100
7007007007106,CH-07-B,BASIC,TATTLY THREADS,Apparel,CHIKKU,36,2199.0,2199.0,450.0,,5.0,100
7007007007107,CH-07-B,BASIC,TATTLY THREADS,Apparel,CHIKKU,37,2199.0,2199.0,450.0,,5.0,100
7007007007108,CH-07-B,BASIC,TATTLY THREADS,Apparel,CHIKKU,38,2199.0,2199.0,450.0,,5.0,100
7007007007109,CH-07-B,BASIC,TATTLY THREADS,Apparel,CHIKKU,39,2199.0,2199.0,450.0,,5.0,100
7007007007110,CH-07-B,BASIC,TATTLY THREADS,Apparel,CHIKKU,40,2199.0,2199.0,450.0,,5.0,100
7007007007111,CH-07-B,BASIC,TATTLY THREADS,Apparel,CHIKKU,41,2199.0,2199.0,450.0,,5.0,100
7007007007112,CH-07-B,BASIC,TATTLY THREADS,Apparel,CHIKKU,42,2299.0,2299.0,450.0,,5.0,100
7007007007113,CH-08-B,BASIC,TATTLY THREADS,Apparel,BLACK,35,2299.0,2299.0,450.0,,5.0,100
7007007007114,CH-08-B,BASIC,TATTLY THREADS,Apparel,BLACK,36,2299.0,2299.0,450.0,,5.0,100
7007007007115,CH-08-B,BASIC,TATTLY THREADS,Apparel,BLACK,37,2299.0,2299.0,450.0,,5.0,100
7007007007116,CH-08-B,BASIC,TATTLY THREADS,Apparel,BLACK,38,2299.0,2299.0,450.0,,5.0,100
7007007007117,CH-08-B,BASIC,TATTLY THREADS,Apparel,BLACK,39,2299.0,2299.0,450.0,,5.0,100
7007007007118,CH-08-B,BASIC,TATTLY THREADS,Apparel,BLACK,40,2299.0,2299.0,450.0,,5.0,100
7007007007119,CH-08-B,BASIC,TATTLY THREADS,Apparel,BLACK,41,2299.0,2299.0,450.0,,5.0,100
7007007007120,CH-08-B,BASIC,TATTLY THREADS,Apparel,BLACK,42,2299.0,2299.0,450.0,,5.0,100
7007007007121,CH-08-B,BASIC,TATTLY THREADS,Apparel,BROWN,35,2299.0,2299.0,450.0,,5.0,100
7007007007122,CH-08-B,BASIC,TATTLY THREADS,Apparel,BROWN,36,2299.0,2299.0,450.0,,5.0,100
7007007007123,CH-08-B,BASIC,TATTLY THREADS,Apparel,BROWN,37,2299.0,2299.0,450.0,,5.0,100
7007007007124,CH-08-B,BASIC,TATTLY THREADS,Apparel,BROWN,38,2299.0,2299.0,450.0,,5.0,100
7007007007125,CH-08-B,BASIC,TATTLY THREADS,Apparel,BROWN,39,2299.0,2299.0,450.0,,5.0,100
7007007007126,CH-08-B,BASIC,TATTLY THREADS,Apparel,BROWN,40,2299.0,2299.0,450.0,,5.0,100
7007007007127,CH-08-B,BASIC,TATTLY THREADS,Apparel,BROWN,41,2299.0,2299.0,450.0,,5.0,100
7007007007128,CH-08-B,BASIC,TATTLY THREADS,Apparel,BROWN,42,2299.0,2299.0,450.0,,5.0,100
7007007007129,CH-09-B,BASIC,TATTLY THREADS,Apparel,BLACK,35,2299.0,2299.0,460.0,,5.0,100
7007007007130,CH-09-B,BASIC,TATTLY THREADS,Apparel,BLACK,36,2299.0,2299.0,460.0,,5.0,100
7007007007131,CH-09-B,BASIC,TATTLY THREADS,Apparel,BLACK,37,2299.0,2299.0,460.0,,5.0,100
7007007007132,CH-09-B,BASIC,TATTLY THREADS,Apparel,BLACK,38,2299.0,2299.0,460.0,,5.0,100
7007007007133,CH-09-B,BASIC,TATTLY THREADS,Apparel,BLACK,39,2299.0,2299.0,460.0,,5.0,100
7007007007134,CH-09-B,BASIC,TATTLY THREADS,Apparel,BLACK,40,2299.0,2299.0,460.0,,5.0,100
7007007007135,CH-09-B,BASIC,TATTLY THREADS,Apparel,BLACK,41,2299.0,2299.0,460.0,,5.0,100
7007007007136,CH-09-B,BASIC,TATTLY THREADS,Apparel,BLACK,42,2299.0,2299.0,460.0,,5.0,100
7007007007137,CH-09-B,BASIC,TATTLY THREADS,Apparel,BEIGE,35,2299.0,2299.0,460.0,,5.0,100
7007007007138,CH-09-B,BASIC,TATTLY THREADS,Apparel,BEIGE,36,2299.0,2299.0,460.0,,5.0,100
7007007007139,CH-09-B,BASIC,TATTLY THREADS,Apparel,BEIGE,37,2299.0,2299.0,460.0,,5.0,100
7007007007140,CH-09-B,BASIC,TATTLY THREADS,Apparel,BEIGE,38,2299.0,2299.0,460.0,,5.0,100
7007007007141,CH-09-B,BASIC,TATTLY THREADS,Apparel,BEIGE,39,2299.0,2299.0,460.0,,5.0,100
7007007007142,CH-09-B,BASIC,TATTLY THREADS,Apparel,BEIGE,40,2299.0,2299.0,460.0,,5.0,100
7007007007143,CH-09-B,BASIC,TATTLY THREADS,Apparel,BEIGE,41,2299.0,2299.0,460.0,,5.0,100
7007007007144,CH-09-B,BASIC,TATTLY THREADS,Apparel,BEIGE,42,2299.0,2299.0,460.0,,5.0,100
7007007007145,CH-10-B,BASIC,TATTLY THREADS,Apparel,MUSTARD,35,2299.0,2299.0,460.0,,5.0,100
7007007007146,CH-10-B,BASIC,TATTLY THREADS,Apparel,MUSTARD,36,2299.0,2299.0,460.0,,5.0,100
7007007007147,CH-10-B,BASIC,TATTLY THREADS,Apparel,MUSTARD,37,2299.0,2299.0,460.0,,5.0,100
7007007007148,CH-10-B,BASIC,TATTLY THREADS,Apparel,MUSTARD,38,2299.0,2299.0,460.0,,5.0,100
7007007007149,CH-10-B,BASIC,TATTLY THREADS,Apparel,MUSTARD,39,2299.0,2299.0,460.0,,5.0,100
7007007007150,CH-10-B,BASIC,TATTLY THREADS,Apparel,MUSTARD,40,2299.0,2299.0,460.0,,5.0,100
7007007007151,CH-10-B,BASIC,TATTLY THREADS,Apparel,MUSTARD,41,2299.0,2299.0,460.0,,5.0,100
7007007007152,CH-10-B,BASIC,TATTLY THREADS,Apparel,MUSTARD,42,2299.0,2299.0,460.0,,5.0,100
7007007007153,CH-10-B,BASIC,TATTLY THREADS,Apparel,WHITE,35,2299.0,2299.0,460.0,,5.0,100
7007007007154,CH-10-B,BASIC,TATTLY THREADS,Apparel,WHITE,36,2299.0,2299.0,460.0,,5.0,100
7007007007155,CH-10-B,BASIC,TATTLY THREADS,Apparel,WHITE,37,2299.0,2299.0,460.0,,5.0,100
7007007007156,CH-10-B,BASIC,TATTLY THREADS,Apparel,WHITE,38,2299.0,2299.0,460.0,,5.0,100
7007007007157,CH-10-B,BASIC,TATTLY THREADS,Apparel,WHITE,39,2299.0,2299.0,460.0,,5.0,100
7007007007158,CH-10-B,BASIC,TATTLY THREADS,Apparel,WHITE,40,2299.0,2299.0,460.0,,5.0,100
7007007007159,CH-10-B,BASIC,TATTLY THREADS,Apparel,WHITE,41,2299.0,2299.0,460.0,,5.0,100
7007007007160,CH-10-B,BASIC,TATTLY THREADS,Apparel,WHITE,42,2299.0,2299.0,460.0,,5.0,100
7007007007161,CH-11-C,PARTY,TATTLY THREADS,Apparel,BLACK,35,2199.0,2199.0,440.0,,5.0,100
7007007007162,CH-11-C,PARTY,TATTLY THREADS,Apparel,BLACK,36,2199.0,2199.0,440.0,,5.0,100
7007007007163,CH-11-C,PARTY,TATTLY THREADS,Apparel,BLACK,37,2199.0,2199.0,440.0,,5.0,100
7007007007164,CH-11-C,PARTY,TATTLY THREADS,Apparel,BLACK,38,2199.0,2199.0,440.0,,5.0,100
7007007007165,CH-11-C,PARTY,TATTLY THREADS,Apparel,BLACK,39,2199.0,2199.0,440.0,,5.0,100
7007007007166,CH-11-C,PARTY,TATTLY THREADS,Apparel,BLACK,40,2199.0,2199.0,440.0,,5.0,100
7007007007167,CH-11-C,PARTY,TATTLY THREADS,Apparel,BLACK,41,2199.0,2199.0,440.0,,5.0,100
7007007007168,CH-11-C,PARTY,TATTLY THREADS,Apparel,BLACK,42,2199.0,2199.0,440.0,,5.0,100
7007007007169,CH-11-C,PARTY,TATTLY THREADS,Apparel,BRONZE,35,2199.0,2199.0,440.0,,5.0,100
7007007007170,CH-11-C,PARTY,TATTLY THREADS,Apparel,BRONZE,36,2199.0,2199.0,440.0,,5.0,100
7007007007171,CH-11-C,PARTY,TATTLY THREADS,Apparel,BRONZE,37,2199.0,2199.0,440.0,,5.0,100
7007007007172,CH-11-C,PARTY,TATTLY THREADS,Apparel,BRONZE,38,2199.0,2199.0,440.0,,5.0,100
7007007007173,CH-11-C,PARTY,TATTLY THREADS,Apparel,BRONZE,39,2199.0,2199.0,440.0,,5.0,100
7007007007174,CH-11-C,PARTY,TATTLY THREADS,Apparel,BRONZE,40,2199.0,2199.0,440.0,,5.0,100
7007007007175,CH-11-C,PARTY,TATTLY THREADS,Apparel,BRONZE,41,2199.0,2199.0,440.0,,5.0,100
7007007007176,CH-11-C,PARTY,TATTLY THREADS,Apparel,BRONZE,42,2199.0,2199.0,440.0,,5.0,100
7007007007177,SND-01-C,PARTY,TATTLY THREADS,Apparel,BRONZE,35,2499.0,2499.0,490.0,,5.0,100
7007007007178,SND-01-C,PARTY,TATTLY THREADS,Apparel,BRONZE,36,2499.0,2499.0,490.0,,5.0,100
7007007007179,SND-01-C,PARTY,TATTLY THREADS,Apparel,BRONZE,37,2499.0,2499.0,490.0,,5.0,100
7007007007180,SND-01-C,PARTY,TATTLY THREADS,Apparel,BRONZE,38,2499.0,2499.0,490.0,,5.0,100
7007007007181,SND-01-C,PARTY,TATTLY THREADS,Apparel,BRONZE,39,2499.0,2499.0,490.0,,5.0,100
7007007007182,SND-01-C,PARTY,TATTLY THREADS,Apparel,BRONZE,40,2499.0,2499.0,490.0,,5.0,100
7007007007183,SND-01-C,PARTY,TATTLY THREADS,Apparel,BRONZE,41,2499.0,2499.0,490.0,,5.0,100
7007007007184,SND-01-C,PARTY,TATTLY THREADS,Apparel,BRONZE,42,2499.0,2499.0,490.0,,5.0,100
7007007007185,SND-01-C,PARTY,TATTLY THREADS,Apparel,R-GOLD,35,2499.0,2499.0,490.0,,5.0,100
7007007007186,SND-01-C,PARTY,TATTLY THREADS,Apparel,R-GOLD,36,2499.0,2499.0,490.0,,5.0,100
7007007007187,SND-01-C,PARTY,TATTLY THREADS,Apparel,R-GOLD,37,2499.0,2499.0,490.0,,5.0,100
7007007007188,SND-01-C,PARTY,TATTLY THREADS,Apparel,R-GOLD,38,2499.0,2499.0,490.0,,5.0,100
7007007007189,SND-01-C,PARTY,TATTLY THREADS,Apparel,R-GOLD,39,2499.0,2499.0,490.0,,5.0,100
7007007007190,SND-01-C,PARTY,TATTLY THREADS,Apparel,R-GOLD,40,2499.0,2499.0,490.0,,5.0,100
7007007007191,SND-01-C,PARTY,TATTLY THREADS,Apparel,R-GOLD,41,2499.0,2499.0,490.0,,5.0,100
7007007007192,SND-01-C,PARTY,TATTLY THREADS,Apparel,R-GOLD,42,2499.0,2499.0,490.0,,5.0,100
7007007007193,CH-12-C,PARTY,TATTLY THREADS,Apparel,PEACH,35,2399.0,2399.0,440.0,,5.0,100
7007007007194,CH-12-C,PARTY,TATTLY THREADS,Apparel,PEACH,36,2399.0,2399.0,440.0,,5.0,100
7007007007195,CH-12-C,PARTY,TATTLY THREADS,Apparel,PEACH,37,2399.0,2399.0,440.0,,5.0,100
7007007007196,CH-12-C,PARTY,TATTLY THREADS,Apparel,PEACH,38,2399.0,2399.0,440.0,,5.0,100
7007007007197,CH-12-C,PARTY,TATTLY THREADS,Apparel,PEACH,39,2399.0,2399.0,440.0,,5.0,100
7007007007198,CH-12-C,PARTY,TATTLY THREADS,Apparel,PEACH,40,2399.0,2399.0,440.0,,5.0,100
7007007007199,CH-12-C,PARTY,TATTLY THREADS,Apparel,PEACH,41,2399.0,2399.0,440.0,,5.0,100
7007007007200,CH-12-C,PARTY,TATTLY THREADS,Apparel,PEACH,42,2399.0,2399.0,440.0,,5.0,100
7007007007201,CH-12-C,PARTY,TATTLY THREADS,Apparel,BRONZE,35,2399.0,2399.0,440.0,,5.0,100
7007007007202,CH-12-C,PARTY,TATTLY THREADS,Apparel,BRONZE,36,2399.0,2399.0,440.0,,5.0,100
7007007007203,CH-12-C,PARTY,TATTLY THREADS,Apparel,BRONZE,37,2399.0,2399.0,440.0,,5.0,100
7007007007204,CH-12-C,PARTY,TATTLY THREADS,Apparel,BRONZE,38,2399.0,2399.0,440.0,,5.0,100
7007007007205,CH-12-C,PARTY,TATTLY THREADS,Apparel,BRONZE,39,2399.0,2399.0,440.0,,5.0,100
7007007007206,CH-12-C,PARTY,TATTLY THREADS,Apparel,BRONZE,40,2399.0,2399.0,440.0,,5.0,100
7007007007207,CH-12-C,PARTY,TATTLY THREADS,Apparel,BRONZE,41,2399.0,2399.0,440.0,,5.0,100
7007007007208,CH-12-C,PARTY,TATTLY THREADS,Apparel,BRONZE,42,2399.0,2399.0,440.0,,5.0,100
7007007007209,CH-13-C,PARTY,TATTLY THREADS,Apparel,BLACK,35,2499.0,2499.0,525.0,,5.0,100
7007007007210,CH-13-C,PARTY,TATTLY THREADS,Apparel,BLACK,36,2499.0,2499.0,525.0,,5.0,100
7007007007211,CH-13-C,PARTY,TATTLY THREADS,Apparel,BLACK,37,2499.0,2499.0,525.0,,5.0,100
7007007007212,CH-13-C,PARTY,TATTLY THREADS,Apparel,BLACK,38,2499.0,2499.0,525.0,,5.0,100
7007007007213,CH-13-C,PARTY,TATTLY THREADS,Apparel,BLACK,39,2499.0,2499.0,525.0,,5.0,100
7007007007214,CH-13-C,PARTY,TATTLY THREADS,Apparel,BLACK,40,2499.0,2499.0,525.0,,5.0,100
7007007007215,CH-13-C,PARTY,TATTLY THREADS,Apparel,BLACK,41,2499.0,2499.0,525.0,,5.0,100
7007007007216,CH-13-C,PARTY,TATTLY THREADS,Apparel,BLACK,42,2499.0,2499.0,525.0,,5.0,100
7007007007217,CH-13-C,PARTY,TATTLY THREADS,Apparel,BRONZE,35,2499.0,2499.0,525.0,,5.0,100
7007007007218,CH-13-C,PARTY,TATTLY THREADS,Apparel,BRONZE,36,2499.0,2499.0,525.0,,5.0,100
7007007007219,CH-13-C,PARTY,TATTLY THREADS,Apparel,BRONZE,37,2499.0,2499.0,525.0,,5.0,100
7007007007220,CH-13-C,PARTY,TATTLY THREADS,Apparel,BRONZE,38,2499.0,2499.0,525.0,,5.0,100
7007007007221,CH-13-C,PARTY,TATTLY THREADS,Apparel,BRONZE,39,2499.0,2499.0,525.0,,5.0,100
7007007007222,CH-13-C,PARTY,TATTLY THREADS,Apparel,BRONZE,40,2499.0,2499.0,525.0,,5.0,100
7007007007223,CH-13-C,PARTY,TATTLY THREADS,Apparel,BRONZE,41,2499.0,2499.0,525.0,,5.0,100
7007007007224,CH-13-C,PARTY,TATTLY THREADS,Apparel,BRONZE,42,2499.0,2499.0,525.0,,5.0,100
