CURRENT PATH,PROPOSED PATH,OLD LENGTH,NEW LENGTH,RESPONSIBILITY,REASON
docs/walkthrough/foundation/SMRITI_UI_UX_Contrast_And_Excel_Grid_Audit_Walkthrough_v3.17.0.md,docs/walkthrough/foundation/UI_UX_Contrast.md,65,17,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/pos/POS_Dual_Field_Item_AutoSearch_And_Attribute_Inspector_v6.11.0.md,docs/walkthrough/pos/POS_Dual_Field.md,65,17,Documentation in docs/walkthrough/pos,Standardized document filename <= 22 chars
docs/implementation/inventory/Implementation_Plan_Remove_Common_Fields_Setup_Module_v6.12.0.md,docs/implementation/inventory/Plan_Remove.md,64,14,Documentation in docs/implementation/inventory,Standardized document filename <= 22 chars
docs/walkthrough/billing/Distributor_Invoicing_Settlement_And_PDT_Import_Stitch_v6.7.0.md,docs/walkthrough/billing/Distributor.md,64,14,Documentation in docs/walkthrough/billing,Standardized document filename <= 22 chars
docs/walkthrough/devops/Docker_Orchestration_And_Automatic_Startup_Walkthrough_v3.1.0.md,docs/walkthrough/devops/Docker.md,64,9,Documentation in docs/walkthrough/devops,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Security_Hardening_And_FastAPI_Integration_v3.15.0.md,docs/walkthrough/foundation/Fdn_Sec_Hardening.md,64,20,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/implementation/db/FastAPI_Reports_Migration_And_Governance_Update_Plan_v3.15.0.md,docs/implementation/db/FastAPI_Reports.md,63,18,Documentation in docs/implementation/db,Standardized document filename <= 22 chars
docs/implementation/inventory/Implementation_Plan_ItemMaster_StitchManagementSystem_v5.3.0.md,docs/implementation/inventory/Plan_ItemMaster.md,63,18,Documentation in docs/implementation/inventory,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_UIUX_Duplication_And_Hardcode_Remediation_v3.29.0.md,docs/walkthrough/foundation/Fdn_UIUX.md,63,11,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/implementation/foundation/Database_Models_And_Repositories_Implementation_Plan_v3.7.0.md,docs/implementation/foundation/Database_Models.md,62,18,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Monolith_Refactoring_And_Route_Splitting_v3.15.0.md,docs/walkthrough/foundation/Fdn_Monolith.md,62,15,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/SMRITI_Header_Alias_Auto_Mapping_Engine_Walkthrough_v3.17.0.md,docs/walkthrough/foundation/Header_Alias_Auto.md,62,20,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/implementation/foundation/Refactoring_Monolith_And_Database_Unification_Plan_v3.15.0.md,docs/implementation/foundation/Refactoring.md,61,14,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/walkthrough/barcode/Barcode_Label_Printing_And_QZ_Tray_Direct_Dispatch_v3.30.0.md,docs/walkthrough/barcode/Barcode_Label_2.md,61,18,Documentation in docs/walkthrough/barcode,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Form_Standardization_And_Setup_Defaults_v3.16.0.md,docs/walkthrough/foundation/Fdn_Form.md,61,11,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Test_Fixture_Environment_Dependency_Fix_v3.29.0.md,docs/walkthrough/foundation/Fdn_Test_Fixture.md,61,19,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/inventory/Inventory_Barcode_Printing_Against_Purchase_PT_File_v6.4.0.md,docs/walkthrough/inventory/Inv_Barcode.md,61,14,Documentation in docs/walkthrough/inventory,Standardized document filename <= 22 chars
docs/walkthrough/sales/Tattly_Threads_Tax_Invoice_Batch_Generation_107_128_v4.9.0.md,docs/walkthrough/sales/Tattly_Threads.md,61,17,Documentation in docs/walkthrough/sales,Standardized document filename <= 22 chars
docs/architecture/decisions/MC-METADATA-ARCHITECTURE-DECISION_v1.1_precondition_patch.md,docs/architecture/decisions/MC-METADATA-ARCHIT.md,60,21,Documentation in docs/architecture/decisions,Standardized document filename <= 22 chars
docs/walkthrough/foundation/SMRITI_Contextual_Navigation_Refactor_Walkthrough_v3.17.0.md,docs/walkthrough/foundation/Contextual.md,60,13,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_CI_Test_Enforcement_And_SGIP_Planning_v3.16.0.md,docs/walkthrough/foundation/Fdn_CI_Test.md,59,14,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_FastAPI_v13_v14_Migration_Walkthrough_v3.16.0.md,docs/walkthrough/foundation/Fdn_FastAPI_v13.md,59,18,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_SGIP_Milestone1_Compliance_Foundation_v3.16.0.md,docs/walkthrough/foundation/Fdn_SGIP.md,59,11,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/invoicing/Invoicing_MasterTaxInvoiceHardening_And_Watermark_v4.9.5.md,docs/walkthrough/invoicing/Invoicing.md,59,12,Documentation in docs/walkthrough/invoicing,Standardized document filename <= 22 chars
docs/implementation/crm/Customer_Price_Group_And_Database_Integrity_Plan_v6.9.0.md,docs/implementation/crm/Customer_Price.md,58,17,Documentation in docs/implementation/crm,Standardized document filename <= 22 chars
docs/implementation/foundation/Platform_Refactor_Slice4_Pricing_GST_Payments_Plan_v1.0.md,docs/implementation/foundation/Platform_Refactor_3.md,58,22,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/pos/Implementation_Plan_ProPOS_Unified_Billing_Suite_v6.0.0.md,docs/implementation/pos/Plan_ProPOS.md,58,14,Documentation in docs/implementation/pos,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Clean_Architecture_And_Offline_First_Walkthrough_v3.0.0.md,docs/walkthrough/foundation/Clean_Arch_And.md,58,17,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/security/Multi_Tenant_Database_Routing_And_Secret_Hardening_v1.0.md,docs/walkthrough/security/Multi_Tenant.md,58,15,Documentation in docs/walkthrough/security,Standardized document filename <= 22 chars
docs/walkthrough/wms/WMS_Phase3_EWay_Bill_Delivery_Challan_Logistics_v6.16.0.md,docs/walkthrough/wms/WMS_Phase3_EWay.md,58,18,Documentation in docs/walkthrough/wms,Standardized document filename <= 22 chars
docs/architecture/SMRITI_DEVELOPMENT_HEALTH_INDEX_RECONCILIATION_v3.25.0.md,docs/architecture/DEVELOPMENT.md,57,14,Documentation in docs/architecture,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Enterprise_Label_Printing_Framework_v3.16.0.md,docs/walkthrough/foundation/Fdn_Enterprise.md,57,17,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Tenant_Isolation_And_Domain_REST_API_v3.8.0.md,docs/walkthrough/foundation/Fdn_Tenant.md,57,13,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/inventory/Universal_ViewConfiguration_GlobalSchemaControl_v5.4.0.md,docs/walkthrough/inventory/Universal.md,57,12,Documentation in docs/walkthrough/inventory,Standardized document filename <= 22 chars
docs/walkthrough/inventory/ViewConfiguration_And_ExcelMapper_Stabilization_v5.6.0.md,docs/walkthrough/inventory/ViewConfig_And.md,57,17,Documentation in docs/walkthrough/inventory,Standardized document filename <= 22 chars
docs/walkthrough/security/Security_Auth_Guard_And_Bottom_Taskbar_Removal_v6.13.0.md,docs/walkthrough/security/Sec_Auth_Guard.md,57,17,Documentation in docs/walkthrough/security,Standardized document filename <= 22 chars
docs/implementation/foundation/Database_API_And_Multi_Tenant_Enforcement_Plan_v3.8.0.md,docs/implementation/foundation/Database_API_And.md,56,19,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Report_User_Role_And_Audit_Logging_v3.16.0.md,docs/walkthrough/foundation/Fdn_Report_User.md,56,18,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Global_Export_Center_Multi_Format_Multi_Scope_v3.25.0.md,docs/walkthrough/foundation/Global_Export.md,56,16,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Platform_Accounting_POS_Cash_Drawer_Movements_v6.16.0.md,docs/walkthrough/foundation/Platform_2.md,56,13,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/SMRITI_Master_Framework_Phase_F_1_Walkthrough_v3.16.0.md,docs/walkthrough/foundation/Master_Framework.md,56,19,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/SMRITI_Master_Framework_Phase_F_2_Walkthrough_v3.16.0.md,docs/walkthrough/foundation/Master_Framework_2.md,56,21,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/SMRITI_Master_Framework_Phase_F_3_Walkthrough_v3.16.0.md,docs/walkthrough/foundation/Master_Framework__3.md,56,22,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/wms/WMS_Phase4_Stock_Audit_Reconciliation_Barcode_v6.16.0.md,docs/walkthrough/wms/WMS_Phase4_Stock.md,56,19,Documentation in docs/walkthrough/wms,Standardized document filename <= 22 chars
docs/implementation/crm/Implementation_Plan_Retail_Customer_Catalogue_v5.5.0.md,docs/implementation/crm/Plan_Retail.md,55,14,Documentation in docs/implementation/crm,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Barcode_PRN_Dynamic_Field_Mapping_v3.16.0.md,docs/walkthrough/foundation/Fdn_Barcode_PRN.md,55,18,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/inventory/Inventory_Barcode_Printing_Multi_Source_Modes_v6.5.0.md,docs/walkthrough/inventory/Inv_Barcode_2.md,55,16,Documentation in docs/walkthrough/inventory,Standardized document filename <= 22 chars
docs/architecture/SMRITI_COMPANY_ONBOARDING_PRODUCTION_READINESS_v1.0.md,docs/architecture/COMPANY.md,54,10,Documentation in docs/architecture,Standardized document filename <= 22 chars
docs/implementation/distribution/Distribution_And_Shared_Pricing_Engine_Plan_v3.22.0.md,docs/implementation/distribution/Dist_And_Shared.md,54,18,Documentation in docs/implementation/distribution,Standardized document filename <= 22 chars
docs/implementation/foundation/Platform_Refactor_Slice3_Sales_POS_Ledger_Plan_v1.0.md,docs/implementation/foundation/Platform_Refactor_4.md,54,22,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/foundation/Platform_Refactor_Slice7_Outbox_Analytics_Plan_v1.0.md,docs/implementation/foundation/Platform_Refactor_5.md,54,22,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/security/Company_Control_Center_Security_Hardening_Plan_v1.0.md,docs/implementation/security/Company_Control.md,54,18,Documentation in docs/implementation/security,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_CRM_Loyalty_CustomerMaster_Split_v3.16.0.md,docs/walkthrough/foundation/Fdn_CRM_Loyalty.md,54,18,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_One_Command_Installation_Scripts_v3.16.0.md,docs/walkthrough/foundation/Fdn_One_Command.md,54,18,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Platform_Accounting_Fiscal_Lockouts_And_BRS_v6.16.0.md,docs/walkthrough/foundation/Platform_2_3.md,54,15,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Platform_Accounting_POS_Shift_Close_ZReport_v6.16.0.md,docs/walkthrough/foundation/Platform_2_3_4.md,54,17,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/SMRITI_Master_Framework_Phase_A_Walkthrough_v3.16.0.md,docs/walkthrough/foundation/Master_Framework__4.md,54,22,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/SMRITI_Master_Framework_Phase_E_Walkthrough_v3.16.0.md,docs/walkthrough/foundation/Master_Framework__5.md,54,22,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/inventory/Inventory_DynamicItemAttributes_Unification_v3.29.1.md,docs/walkthrough/inventory/Inv.md,54,6,Documentation in docs/walkthrough/inventory,Standardized document filename <= 22 chars
docs/walkthrough/inventory/Inventory_Remove_Common_Fields_Setup_Module_v6.12.0.md,docs/walkthrough/inventory/Inv_Remove_Common.md,54,20,Documentation in docs/walkthrough/inventory,Standardized document filename <= 22 chars
docs/walkthrough/sales/Sales_CRM_Audit_And_POS_Upgrades_Walkthrough_v2.1.2.md,docs/walkthrough/sales/Sales_CRM_Audit.md,54,18,Documentation in docs/walkthrough/sales,Standardized document filename <= 22 chars
docs/walkthrough/sales/SMRITI_Statutory_A4_Tax_Invoice_Print_Engine_v4.7.0.md,docs/walkthrough/sales/Statutory_A4_Tax.md,54,19,Documentation in docs/walkthrough/sales,Standardized document filename <= 22 chars
docs/architecture/TAX_INVOICE_TATTLY_THREADS_CANONICAL_SPECIFICATION.md,docs/architecture/TAX_INVOICE.md,53,14,Documentation in docs/architecture,Standardized document filename <= 22 chars
docs/implementation/foundation/SMRITI_Contextual_Navigation_Refactor_Plan_v3.17.0.md,docs/implementation/foundation/Contextual.md,53,13,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/walkthrough/crm/Customer_Price_Group_And_Database_Integrity_v6.9.0.md,docs/walkthrough/crm/Customer_Price.md,53,17,Documentation in docs/walkthrough/crm,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Excel_Grid_Header_Paste_Mapping_v3.16.0.md,docs/walkthrough/foundation/Fdn_Excel_Grid.md,53,17,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/inventory/Inventory_ItemMaster_StitchManagementSystem_v5.3.0.md,docs/walkthrough/inventory/Inv_ItemMaster_2.md,53,19,Documentation in docs/walkthrough/inventory,Standardized document filename <= 22 chars
docs/walkthrough/inventory/Inventory_ItemMaster_TacticalGrid_Refactor_v3.29.0.md,docs/walkthrough/inventory/Inv_ItemMaster_2_3.md,53,21,Documentation in docs/walkthrough/inventory,Standardized document filename <= 22 chars
docs/walkthrough/invoicing/Invoicing_TattlyThreads_RendererCalibration_v4.9.2.md,docs/walkthrough/invoicing/Invoicing_2.md,53,14,Documentation in docs/walkthrough/invoicing,Standardized document filename <= 22 chars
docs/walkthrough/user_guide/SMRITI_Training_Academy_Phases3_5_Walkthrough_v1.0.md,docs/walkthrough/user_guide/Training_Academy.md,53,19,Documentation in docs/walkthrough/user_guide,Standardized document filename <= 22 chars
docs/_audit/CANONICAL_SYSTEM_STRUCTURE_FORENSIC_RECONCILIATION.md,docs/_audit/CANONICAL_SYSTEM.md,53,19,Documentation in docs/_audit,Standardized document filename <= 22 chars
docs/walkthrough/devops/Docker_Build_Fix_And_Default_User_Seeding_v3.16.0.md,docs/walkthrough/devops/Docker_Build_Fix.md,52,19,Documentation in docs/walkthrough/devops,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Platform_Pricing_GST_Payments_Unification_v6.16.0.md,docs/walkthrough/foundation/Platform_Pricing.md,52,19,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Project_Header_Standardization_Walkthrough_v3.3.0.md,docs/walkthrough/foundation/Project_Header.md,52,17,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
backend/tests/test_offline_conflict_resolution_concurrent_soak.py,backend/tests/t_soak_conflict.py,51,18,FastAPI backend test suite,Shortened backend test module filename to t_<domain> <= 22 chars
docs/architecture/SMRITI_COMPANY_DATABASE_PROVISIONING_ENGINE_v1.0.md,docs/architecture/COMPANY_DATABASE.md,51,19,Documentation in docs/architecture,Standardized document filename <= 22 chars
docs/implementation/analytics/Analytics_Integration_Hub_And_Audit_Plan_v3.23.0.md,docs/implementation/analytics/Analytics.md,51,12,Documentation in docs/implementation/analytics,Standardized document filename <= 22 chars
docs/implementation/foundation/Clean_Architecture_And_Offline_First_Plan_v3.0.0.md,docs/implementation/foundation/Clean_Arch_And.md,51,17,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/foundation/Database_Foundation_And_Domain_Layer_Plan_v3.7.0.md,docs/implementation/foundation/Database_Fdn_And.md,51,19,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/foundation/Enterprise_Label_Printing_Framework_Plan_v3.16.0.md,docs/implementation/foundation/Enterprise_Label.md,51,19,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/foundation/Platform_Refactor_Controlled_Migration_Plan_v1.0.md,docs/implementation/foundation/Platform_Refactor_6.md,51,22,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/user_guide/SMRITI_Training_Academy_Implementation_Plan_v1.0.md,docs/implementation/user_guide/Training_Academy.md,51,19,Documentation in docs/implementation/user_guide,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_ActiveFieldContextAwareSearch_v3.29.2.md,docs/walkthrough/foundation/Fdn.md,51,6,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/sales/Sales_Tax_Invoice_Canonical_Renderer_Freeze_v1.0.md,docs/walkthrough/sales/Sales_Tax_Invoice_2.md,51,22,Documentation in docs/walkthrough/sales,Standardized document filename <= 22 chars
docs/walkthrough/sales/Smriti_Distributor_Tax_Invoice_Stitch_UI_v4.10.0.md,docs/walkthrough/sales/Smriti.md,51,9,Documentation in docs/walkthrough/sales,Standardized document filename <= 22 chars
docs/walkthrough/wms/WMS_Phase2_Inward_GRN_FEFO_Credit_Limits_v6.16.0.md,docs/walkthrough/wms/WMS_Phase2_Inward.md,51,20,Documentation in docs/walkthrough/wms,Standardized document filename <= 22 chars
docs/architecture/SMRITI_MULTI_COMPANY_DATABASE_ARCHITECTURE_v1.0.md,docs/architecture/MULTI_COMPANY.md,50,16,Documentation in docs/architecture,Standardized document filename <= 22 chars
docs/implementation/foundation/Dynamic_Item_Master_Implementation_Plan_v3.16.0.md,docs/implementation/foundation/Dynamic_Item.md,50,15,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/foundation/Platform_POS_Cash_Drawer_Movements_Plan_v6.16.0.md,docs/implementation/foundation/Platform_POS_Cash.md,50,20,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/reports/Reporting_Platform_And_Data_Integrity_Plan_v1.0.md,docs/implementation/reports/Reporting.md,50,12,Documentation in docs/implementation/reports,Standardized document filename <= 22 chars
docs/walkthrough/devops/Devops_SMRITIDocker_Repository_Creation_v3.16.0.md,docs/walkthrough/devops/Devops.md,50,9,Documentation in docs/walkthrough/devops,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Database_And_Container_Fixes_v3.14.1.md,docs/walkthrough/foundation/Fdn_Database_And.md,50,19,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Foundation_Security_And_API_Integration_v3.14.5.md,docs/walkthrough/foundation/Fdn_Sec_And_API.md,50,18,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Platform_Accounting_Double_Entry_Ledger_v6.16.0.md,docs/walkthrough/foundation/Platform_2_3_4_5.md,50,19,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/Platform_Approval_Workflow_Communicator_v6.16.0.md,docs/walkthrough/foundation/Platform_Approval.md,50,20,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/foundation/SMRITI_Master_UIUX_Refactor_Walkthrough_v3.17.0.md,docs/walkthrough/foundation/Master_UIUX.md,50,14,Documentation in docs/walkthrough/foundation,Standardized document filename <= 22 chars
docs/walkthrough/print/Print_QZ_Tray_Dispatch_Spike_And_Hybrid_v3.29.0.md,docs/walkthrough/print/Print_QZ_Tray.md,50,16,Documentation in docs/walkthrough/print,Standardized document filename <= 22 chars
docs/walkthrough/user_guide/SMRITI_Training_Academy_Phase1_Walkthrough_v1.0.md,docs/walkthrough/user_guide/Training_Academy_2.md,50,21,Documentation in docs/walkthrough/user_guide,Standardized document filename <= 22 chars
docs/walkthrough/user_guide/SMRITI_Training_Academy_Phase2_Walkthrough_v1.0.md,docs/walkthrough/user_guide/Training_Academy__3.md,50,22,Documentation in docs/walkthrough/user_guide,Standardized document filename <= 22 chars
docs/implementation/foundation/Barcode_PRN_Dynamic_Field_Mapping_Plan_v3.16.0.md,docs/implementation/foundation/Barcode_PRN.md,49,14,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/foundation/SMRITI_FastAPI_Core_Implementation_Plan_v3.6.0.md,docs/implementation/foundation/FastAPI_Core_Plan.md,49,20,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/implementation/foundation/SMRITI_Master_Framework_Phase_F_3_Plan_v3.16.0.md,docs/implementation/foundation/Master_Framework.md,49,19,Documentation in docs/implementation/foundation,Standardized document filename <= 22 chars
docs/walkthrough/distribution/Distribution_And_Shared_Pricing_Engine_v3.22.0.md,docs/walkthrough/distribution/Dist_And_Shared.md,49,18,Documentation in docs/walkthrough/distribution,Standardized document filename <= 22 chars
