app\compliance\registry\registry.py:0: error: Library stubs not installed for "yaml"  [import-untyped]
app\core\error_handlers.py:0: error: Argument 2 to "add_exception_handler" of "Starlette" has incompatible type "Callable[[Request[State], RequestValidationError], Coroutine[Any, Any, Any]]"; expected "Callable[[Request[State], Exception], Response | Awaitable[Response]] | Callable[[WebSocket[State], Exception], Awaitable[None]]"  [arg-type]
app\core\error_handlers.py:0: error: Argument 2 to "add_exception_handler" of "Starlette" has incompatible type "Callable[[Request[State], HTTPException], Coroutine[Any, Any, Any]]"; expected "Callable[[Request[State], Exception], Response | Awaitable[Response]] | Callable[[WebSocket[State], Exception], Awaitable[None]]"  [arg-type]
app\core\error_handlers.py:0: error: Argument 2 to "add_exception_handler" of "Starlette" has incompatible type "Callable[[Request[State], SQLAlchemyError], Coroutine[Any, Any, Any]]"; expected "Callable[[Request[State], Exception], Response | Awaitable[Response]] | Callable[[WebSocket[State], Exception], Awaitable[None]]"  [arg-type]
app\services\user.py:0: error: Incompatible return value type (got "tuple[int, Sequence[User]]", expected "tuple[int, list[User]]")  [return-value]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "str", variable has type "Column[str]")  [assignment]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "str", variable has type "Column[str]")  [assignment]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "UserRole", variable has type "Column[Any]")  [assignment]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "bool", variable has type "Column[bool]")  [assignment]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "str", variable has type "Column[str]")  [assignment]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "str", variable has type "Column[str]")  [assignment]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")  [assignment]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "bool", variable has type "Column[bool]")  [assignment]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "bool", variable has type "Column[bool]")  [assignment]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")  [assignment]
app\services\user.py:0: error: Argument 2 to "verify_password" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "str", variable has type "Column[str]")  [assignment]
app\services\user.py:0: error: Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")  [assignment]
app\services\auth.py:0: error: Argument 2 to "verify_password" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\api\deps.py:0: error: Argument "company_id" to "TenantContext" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\api\deps.py:0: error: Argument "branch_id" to "TenantContext" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\services\supplier_payment.py:0: error: Incompatible types in assignment (expression has type "Decimal", variable has type "Column[Decimal]")  [assignment]
app\services\supplier_payment.py:0: error: Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")  [assignment]
app\services\supplier_payment.py:0: error: Incompatible return value type (got "Sequence[SupplierPayment]", expected "list[SupplierPayment]")  [return-value]
app\services\reports.py:0: error: Argument "product_id" to "StockValuationLine" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\services\reports.py:0: error: Argument "code" to "StockValuationLine" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\services\reports.py:0: error: Argument "name" to "StockValuationLine" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\services\reports.py:0: error: Argument "supplier_name" to "SupplierLedger" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\services\reports.py:0: error: Argument "supplier_id" to "PurchaseSummaryLine" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\services\reports.py:0: error: Argument "supplier_name" to "PurchaseSummaryLine" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\services\purchase.py:0: error: Incompatible return value type (got "Sequence[Supplier]", expected "list[Supplier]")  [return-value]
app\services\purchase.py:0: error: Incompatible return value type (got "Sequence[PurchaseOrder]", expected "list[PurchaseOrder]")  [return-value]
app\services\purchase.py:0: error: Incompatible return value type (got "tuple[PurchaseOrder, Sequence[PurchaseOrderItem]]", expected "tuple[PurchaseOrder, list[PurchaseOrderItem]]")  [return-value]
app\services\purchase.py:0: error: Incompatible types in assignment (expression has type "ColumnElement[int]", variable has type "Column[int]")  [assignment]
app\services\purchase.py:0: error: Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")  [assignment]
app\services\purchase.py:0: error: Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")  [assignment]
app\services\purchase.py:0: error: Incompatible return value type (got "Sequence[PurchaseReceipt]", expected "list[PurchaseReceipt]")  [return-value]
app\services\purchase.py:0: error: Incompatible return value type (got "tuple[PurchaseReceipt, Sequence[PurchaseReceiptItem]]", expected "tuple[PurchaseReceipt, list[PurchaseReceiptItem]]")  [return-value]
app\services\pos.py:0: error: Incompatible return value type (got "Sequence[CashRegister]", expected "list[CashRegister]")  [return-value]
app\services\pos.py:0: error: Incompatible types in assignment (expression has type "str", variable has type "Column[str]")  [assignment]
app\services\pos.py:0: error: Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")  [assignment]
app\services\pos.py:0: error: Incompatible types in assignment (expression has type "Decimal", variable has type "Column[Decimal]")  [assignment]
app\services\pos.py:0: error: Incompatible types in assignment (expression has type "Decimal", variable has type "Column[Decimal]")  [assignment]
app\services\pos.py:0: error: Incompatible types in assignment (expression has type "Decimal", variable has type "Column[Decimal]")  [assignment]
app\services\pos.py:0: error: Incompatible types in assignment (expression has type "Decimal", variable has type "Column[Decimal]")  [assignment]
app\services\pos.py:0: error: Incompatible types in assignment (expression has type "str", variable has type "Column[str]")  [assignment]
app\services\pos.py:0: error: Incompatible types in assignment (expression has type "Decimal", variable has type "Column[Decimal]")  [assignment]
app\services\pos.py:0: error: Incompatible types in assignment (expression has type "str | None", variable has type "Column[str]")  [assignment]
app\services\pos.py:0: error: Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")  [assignment]
app\services\pos.py:0: error: Incompatible return value type (got "Sequence[Shift]", expected "list[Shift]")  [return-value]
app\repositories\base.py:0: error: Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")  [assignment]
app\repositories\base.py:0: error: Incompatible types in assignment (expression has type "bool", variable has type "Column[bool]")  [assignment]
app\repositories\base.py:0: error: Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")  [assignment]
app\repositories\base.py:0: error: Incompatible types in assignment (expression has type "str | None", variable has type "Column[str]")  [assignment]
app\api\v1\users.py:0: error: Argument "users" to "UserListResponse" has incompatible type "list[User]"; expected "list[UserResponse]"  [arg-type]
app\api\v1\users.py:0: error: Argument 2 to "deactivate_user" of "UserService" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\api\v1\users.py:0: error: Argument 1 to "change_password" of "UserService" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\api\v1\auth.py:0: error: Argument 2 to "logout" of "AuthService" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\api\v1\purchase.py:0: error: Argument 1 to "get_purchase_order" of "PurchaseService" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\api\v1\purchase.py:0: error: Argument 1 to "get_purchase_receipt" of "PurchaseService" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\api\v1\pos.py:0: error: Argument "cashier_id" to "open_shift" of "POSService" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\api\v1\pos.py:0: error: Argument 3 to "close_shift" of "POSService" has incompatible type "Column[str]"; expected "str"  [arg-type]
app\services\sales.py:0: error: Incompatible types in assignment (expression has type "ColumnElement[int]", variable has type "Column[int]")  [assignment]
app\api\v1\inventory.py:0: error: Argument "deleted_by" to "soft_delete" of "BaseRepository" has incompatible type "Column[str]"; expected "str | None"  [arg-type]
